time,cwnd
37.381,28324
37.381,28383
37.381,28442
37.381,28501
37.381,28560
37.382,28618
37.382,28677
37.382,28735
37.382,28793
37.382,28851
37.382,28909
37.382,28967
37.382,29024
37.382,29082
37.382,29139
37.382,29197
37.383,29254
37.423,29311
37.423,29368
37.423,29425
37.423,29482
37.423,29538
37.423,29595
37.423,29651
37.423,29708
37.423,29764
37.423,29820
37.424,29876
37.424,29932
37.424,29988
37.424,30044
37.424,30099
37.424,30155
37.424,30210
37.424,30266
37.424,30321
37.424,30376
37.425,30431
37.425,30486
37.425,30541
37.425,30595
37.425,30650
37.463,30704
37.464,30759
37.464,30813
37.464,30867
37.464,30922
37.464,30976
37.464,31030
37.464,31083
37.464,31137
37.464,31191
37.464,31244
37.464,31298
37.465,31351
37.465,31405
37.465,31458
37.465,31511
37.465,31564
37.465,31617
37.465,31670
37.465,31722
37.465,31775
37.465,31828
37.465,31880
37.466,31933
37.466,31985
37.466,32037
37.504,32089
37.504,32141
37.504,32193
37.504,32245
37.504,32297
37.505,32349
37.505,32400
37.505,32452
37.505,32503
37.505,32555
37.505,32606
37.505,32657
37.505,32709
37.505,32760
37.505,32811
37.505,32862
37.505,32912
37.505,32963
37.506,33014
37.506,33065
37.506,33115
